,date,homeTeam,awayTeam,homeScore,awayScore,outcome,raptorProbHome,raptorProbAway,raptorLogLoss,raptorAbsDiff
110,2022-04-08,DAL,POR,128,78,HOME,0.9815401230456272,0.0184598769543726,0.026880852019321,0.0184598769543727
330,2022-03-09,UTA,POR,123,85,HOME,0.981381735081185,0.018618264918815,0.0271136738511093,0.018618264918815
207,2022-03-26,DEN,OKC,113,107,HOME,0.968517521271165,0.031482478728835,0.0461499462938669,0.031482478728835
831,2021-12-26,SAS,DET,144,109,HOME,0.968446028141846,0.0315539718581541,0.0462564457509209,0.031553971858154
161,2022-04-01,SAS,POR,130,111,HOME,0.965667436392302,0.0343325636076979,0.0504016661519344,0.0343325636076979
120,2022-04-07,NOP,POR,127,94,HOME,0.96530366007638,0.0346963399236198,0.0509452457986127,0.0346963399236199
335,2022-03-09,MIN,OKC,132,102,HOME,0.9646186993667968,0.0353813006332032,0.0519693175241688,0.0353813006332032
268,2022-03-18,MIA,OKC,120,108,HOME,0.962989605116242,0.0370103948837581,0.0544078697450948,0.037010394883758
350,2022-03-07,MIN,POR,124,81,HOME,0.9626364687084404,0.0373635312915595,0.0549370152078918,0.0373635312915595
175,2022-03-30,POR,NOP,107,117,AWAY,0.0378294035744141,0.9621705964255858,0.0556353830157216,0.0378294035744142
